id,scale,x,y,location,type
1,large,-173286,5977304,Nantes,Building
2,large,-174319,5977059,Nantes,Building
3,large,-175730,5975338,Nantes,Crossroad
4,large,-174253,5979002,Nantes,Building
5,large,-171816,5978659,Nantes,Crossroad
6,large,-170818,5976939,Nantes,Crossroad
7,large,-176255,5983429,Orvault,Building
8,large,-177582,5983173,Orvault,Building
9,large,6229,5344862,Tarbes,Building
10,large,4869,5347898,Tarbes,Crossroad
11,large,7975,5350041,Tarbes,Crossroad
12,large,-64005,5596361,Bordeaux,POI
13,large,-62836,5594290,Bordeaux,POI
14,large,-64301,5595131,Bordeaux,Building
15,large,643693,5459266,Forcalquier,Crossroad
16,large,642971,5458186,Forcalquier,Crossroad
17,large,642278,5430171,Forcalquier,Building
18,large,-10756,5312398,Argelès,Crossroad
19,large,-11484,5312723,Argelès,Crossroad
20,large,-11655,5313992,Argelès,Building
21,large,-11655,5305788,Gourette,Building
22,large,-12839,5294827,Cauterets,Building
23,large,346233,5741931,Clermont,Building
24,large,343990,5744571,Clermont,Crossroad
25,large,342343,5744145,Clermont,Crossroad
26,large,267245,6250205,Paris,Building
27,large,266705,6252281,Paris,Building
28,large,265056,6250060,Paris,Building
29,large,267949,6249727,Paris,Crossroad
30,large,265701,6251033,Paris,Crossroad
31,large,750028,5530778,Jausiers,Building
32,small,268595,6252008,IDF,Crossroad
33,small,275321,6246925,IDF,Crossroad
34,small,263817,6254989,IDF,Crossroad
35,small,274251,6233510,IDF,POI
36,small,268595,6252008,IDF,POI
37,small,283423,6247880,IDF,POI
38,small,-168646,5970385,Nantes,Crossroad
39,small,-176519,5978449,Nantes,Crossroad
40,small,-181106,5968856,Nantes,Crossroad
41,small,-189033,5978713,Nantes,POI
42,small,-250503,5988863,Nantes,Crossroad
43,small,-75300,5395376,Landes,Crossroad
44,small,321517,5699819,Auvergne,POI
45,small,328792,5750505,Auvergne,Crossroad
46,small,345859,5773072,Auvergne,Crossroad
47,small,-110571,5404539,Landes,Crossroad
48,small,136505,5640387,Dordogne,Crossroad
49,small,151984,5654987,Dordogne,POI
